supplier_id,business_partner_id,supplier_name,country,region,payment_terms,incoterms,supplier_tier,risk_score,avg_response_days,on_time_delivery_pct,quality_ppm,created_on,blocked_flag
S100001,BP200001,Sterling Electronics,US,,NET30,FCA,STRATEGIC,38,4.4,80,658,2023-05-29,N
S100002,BP200002,Quantum Supply,US,,NET30,DAP,APPROVED,36,2.5,83,1045,2019-02-02,N
S100003,BP200003,Nova Precision,US,,NET45,EXW,STRATEGIC,42,0.5,64,874,2024-12-18,N
S100004,BP200004,Sterling Systems,US,,NET30,FCA,APPROVED,15,3.4,91,1295,2019-11-14,N
S100005,BP200005,Sterling Precision,US,,NET45,EXW,APPROVED,24,6.1,72,604,2019-07-01,N
S100006,BP200006,Vector Manufacturing,TW,,2%10NET30,DAP,PREFERRED,28,2.8,84,1658,2024-04-22,N
S100007,BP200007,Sterling Industries,VN,,2%10NET30,FCA,PREFERRED,29,3.3,78,0,2018-03-25,N
S100008,BP200008,Omni Supply,IN,,NET60,FCA,APPROVED,47,4.9,72,2093,2024-02-22,N
S100009,BP200009,Nexus Components,US,,NET60,FOB,STRATEGIC,61,7.4,59,1934,2024-11-24,N
S100010,BP200010,Sterling Global,IN,,2%10NET30,FOB,CONDITIONAL,39,2.6,61,2113,2023-08-09,N
S100011,BP200011,Nova Systems,US,,NET30,EXW,PREFERRED,29,2.1,66,1867,2025-01-23,N
S100012,BP200012,Vertex Global,VN,,NET60,DDP,PREFERRED,33,5.4,68,1332,2025-04-02,N
S100013,BP200013,Vector Materials,US,,2%10NET30,FCA,STRATEGIC,39,3.9,58,332,2025-09-10,Y
S100014,BP200014,Nexus Manufacturing,DE,,2%10NET30,DAP,CONDITIONAL,27,3.1,69,836,2020-10-03,N
S100015,BP200015,Apex Components,CN,,NET30,FCA,STRATEGIC,42,2.9,58,1142,2018-04-15,N
S100016,BP200016,Quantum Supply 16,US,,NET45,DAP,PREFERRED,21,2.4,96,1269,2025-01-16,N
S100017,BP200017,Summit Systems,US,,NET30,FCA,PREFERRED,36,3.9,68,4,2024-05-08,N
S100018,BP200018,Helio Manufacturing,TW,,2%10NET30,DAP,CONDITIONAL,44,1.5,57,0,2025-04-15,N
S100019,BP200019,Vector Global,CN,,NET45,FCA,STRATEGIC,17,3.1,80,238,2021-01-14,N
S100020,BP200020,Quantum Precision,DE,,NET45,FOB,CONDITIONAL,15,6.3,93,623,2023-11-15,N
S100021,BP200021,Vertex Manufacturing,US,,2%10NET30,FOB,PREFERRED,13,2.1,83,1325,2023-04-22,N
S100022,BP200022,Apex Electronics,DE,,NET60,EXW,STRATEGIC,27,5.2,76,2300,2020-12-26,N
S100023,BP200023,Apex Materials,US,,NET45,DAP,PREFERRED,23,1.9,95,2188,2018-11-14,N
S100024,BP200024,Quantum Materials,CN,,2%10NET30,FOB,APPROVED,39,4.5,73,1286,2022-06-26,N
S100025,BP200025,Pioneer Systems,MX,,NET45,EXW,PREFERRED,36,3.5,74,334,2024-10-23,N
S100026,BP200026,Vector Components,US,,2%10NET30,DDP,APPROVED,43,0.5,67,84,2019-05-28,N
S100027,BP200027,Vector Precision,MX,,2%10NET30,FOB,APPROVED,42,1.4,56,0,2019-03-08,N
S100028,BP200028,Sterling Supply 28,TW,,2%10NET30,EXW,APPROVED,60,1.5,51,846,2023-03-25,N
S100029,BP200029,Omni Industries,TW,,2%10NET30,DDP,STRATEGIC,19,3.8,93,1121,2019-04-23,Y
S100030,BP200030,Apex Systems,US,,2%10NET30,FCA,APPROVED,36,6.0,71,0,2019-09-26,N
S100031,BP200031,Pioneer Global,US,,NET45,DDP,CONDITIONAL,35,5.6,72,1597,2021-06-10,N
S100032,BP200032,Quantum Manufacturing,MX,,2%10NET30,DAP,APPROVED,25,3.1,80,166,2020-08-01,N
S100033,BP200033,Zenith Industries,US,,2%10NET30,DAP,APPROVED,25,3.2,76,1238,2024-07-28,N
S100034,BP200034,Helio Materials,CA,,NET45,EXW,APPROVED,21,3.9,96,1625,2022-06-23,N
S100035,BP200035,Nova Materials 35,IN,,NET45,DDP,STRATEGIC,50,0.5,67,0,2018-12-14,N
S100036,BP200036,Vertex Global 36,CN,,NET60,FOB,APPROVED,37,2.7,79,908,2021-11-17,N
S100037,BP200037,Summit Materials,MX,,2%10NET30,DDP,APPROVED,33,0.5,82,1183,2023-02-17,N
S100038,BP200038,Nova Manufacturing 38,US,,NET45,FOB,PREFERRED,32,0.5,86,553,2020-06-05,N
S100039,BP200039,Apex Precision,US,,NET45,DDP,STRATEGIC,19,3.2,85,1330,2020-06-28,N
S100040,BP200040,Nova Electronics,CA,,NET45,FOB,APPROVED,15,0.5,82,339,2022-06-14,N
S100041,BP200041,Vertex Precision,CA,,2%10NET30,DAP,APPROVED,23,2.1,90,2333,2024-09-29,Y
S100042,BP200042,Vector Precision 42,US,,2%10NET30,DAP,STRATEGIC,2,0.5,93,1340,2022-08-17,N
S100043,BP200043,Helio Industries,US,,NET60,DDP,STRATEGIC,31,4.5,87,421,2022-10-21,N
S100044,BP200044,Summit Components 44,IN,,NET45,DDP,APPROVED,52,4.1,64,32,2020-11-24,N
S100045,BP200045,Nova Global,CA,,NET60,DDP,APPROVED,27,5.6,73,427,2019-09-09,N
S100046,BP200046,Nova Materials,DE,,2%10NET30,EXW,PREFERRED,1,1.6,99,120,2021-10-20,N
S100047,BP200047,Nexus Global,US,,NET45,DAP,APPROVED,4,2.5,98,527,2024-08-02,N
S100048,BP200048,BlueRock Supply,CA,,NET45,DDP,PREFERRED,30,4.5,80,739,2019-02-19,N
S100049,BP200049,Helio Components 49,US,,2%10NET30,FOB,PREFERRED,39,5.5,77,218,2019-10-07,N
S100050,BP200050,Quantum Global,TW,,NET45,DDP,CONDITIONAL,37,0.5,83,2117,2024-06-10,N
